Estado,Anio,PIB,PIBperCapita,Poblacion
Veracruz,2008,704314.03,94690.84532,7438038
Veracruz,2009,688981.395,91838.55447,7502094
Veracruz,2010,718148.55,94915.99108,7566150
Veracruz,2011,746817.731,97876.49368,7630206
Veracruz,2012,779730.434,101339.2207,7694262
Veracruz,2013,781357.276,100712.2106,7758318
Veracruz,2014,780785.356,99814.38318,7822374
Veracruz,2015,785745.931,99632.66151,7886430
Veracruz,2016,784930.108,98727.32145,7950486
Veracruz,2017,776072.856,96833.09832,8014542
Veracruz,2018,794376.31,98330.97137,8078598
Yucatán,2003,161636.497,91979.21841,1757316
Yucatán,2004,169013.747,94618.39084,1786268
Yucatán,2005,176907.681,97458.01582,1815220
Yucatán,2006,185462.602,100566.9007,1844172
Yucatán,2007,191217.075,102084.6117,1873124
Yucatán,2008,193158.623,101551.5068,1902076
Yucatán,2009,189365.458,98064.61472,1931028
Yucatán,2010,196149.981,100077.5728,1959980
Yucatán,2011,202893.85,102011.4872,1988932
Yucatán,2012,214700.599,106398.9123,2017884
Yucatán,2013,215788.237,105425.3004,2046836
Yucatán,2014,223858.768,107842.8205,2075788
Yucatán,2015,230374.526,109455.1306,2104740
Yucatán,2016,242505.306,113655.2859,2133692
Yucatán,2017,252391.124,116704.9195,2162644
Yucatán,2018,260417.828,118825.6865,2191596
Zacatecas,2003,101406.31,72820.53793,1392551
Zacatecas,2004,105664.685,75380.6203,1401749
Zacatecas,2005,105661.441,74886.92767,1410947
Zacatecas,2006,112108.368,78941.54292,1420145
Zacatecas,2007,115935.139,81110.85519,1429342
Zacatecas,2008,126383.577,87855.47545,1438540
Zacatecas,2009,130512,90148.95299,1447738
Zacatecas,2010,144730.56,99339.06454,1456935
Zacatecas,2011,144876.886,98815.66929,1466133
Zacatecas,2012,148728.64,100810.392,1475331
Zacatecas,2013,146858.788,98926.2393,1484529
Zacatecas,2014,156808.457,104978.068,1493726
Zacatecas,2015,159905.359,106396.1994,1502924
Zacatecas,2016,157998.056,104487.6849,1512122
Zacatecas,2017,157621.131,103608.2024,1521320
Zacatecas,2018,156725.476,102400.3657,1530517
